arg,tittle,genres,argumento
31030,Recuerdo a mamá (1948),Niños | drama,"Los altibajos de una familia de inmigrantes noruegos, alrededor de 1910."
31038,Talk SOUZ (1985),Drama | Romance,Una niña de 15 años de espíritu libre coquetea con un extraño peligroso en los suburbios del norte de California y debe prepararse para las consecuencias aterradoras y traumáticas.
31049,Fuera frio (1989),Comedia | thriller,Sunny está casado con la Ernie
31083,Problema del hombre (1992),Comedia | romance,Un entrenador de perros de guardia sórdido pero afable es chantajeado para robar un manuscrito para un libro de contadores de uno de sus clientes.
31086,Batallas sin honor y humanidad (Jingi Naki Tatakai) (1973),Crimen | drama,"Durante el violento caos del mercado negro japonés de posguerra, un joven gángster llamado Shozo Hirono tiene que mantenerse al día con los rápidos cambios de poder entre jefes sin escrúpulos."
31101,Stander (2003),Acción | crimen | drama,"La vida y la carrera de Andre Stander, un oficial de policía sudafricano se convirtió en ladrón de bancos."
31114,Héroes imaginarios (2004),Comedia | drama,"La fauna de la familia Travis es destruida por un evento incomprensible para ellos, un evento que abrirá puertas cerradas y finalmente revelará los secretos que los han perseguido durante décadas."
31116,Sargento York (1941),Drama | guerra,Un marcador está reclutado en la Primera Guerra Mundial y termina convirtiéndose en uno de los héroes de guerra más famosos.
31123,Ruby & Quentin (Tais-Toi!) (2003),Comedia | crimen,"Después de ocultar su botín y ser arrojado a la cárcel, Ruby, un proscrito, se encuentra con Quentin, un gigante adornado y garruloso que se hace amigo de él. Después de Quentin Botches Runy's Solo Escape ..."
31150,Wizards (1977),Animación | Fantasía | Sci-Fi | Guerra,"En una Tierra Post-Apocalíptica, un mago y sus compañeros de Faire Folk luchan contra un mago malvado que está utilizando la tecnología en su oferta por la conquista."
31162,"Vida y muerte de Peter Sellers, The (2004)",Comedia | drama,La adaptación de características del libro de Roger Lewis sobre el actor mejor recordado como Inspector Clouseau en las películas Pink Panther.
31184,Appleseed (Appurushã®DO) (2004),Acción | animación | fantasía | ciencia ficción,"En una sociedad utópica creada al final de la Tercera Guerra Mundial, una guerrera femenina que ha sido arrancada de los Badlands comienza a ver grietas en esta nueva fachada. ¿Y qué ha planeado esta comunidad para el resto de la humanidad?"
31193,"Muchas aventuras de Winnie the Pooh, The (1977)",Animación | Niños | Musical,"En esta colección de pantalones cortos animados basados ​​en las historias y personajes de A.A.A. Milne, Winnie The Pooh, un oso de peluche amante de la miel, se embarca en algunas aventuras excéntricas."
31221,Elektra (2005),Acción | aventura | crimen | drama,"Elektra El guerrero sobrevive a una experiencia cercana a la muerte, se convierte en un asesino para alquilar, y trata de proteger sus dos últimos objetivos, un padre soltero y su hija pequeña, de un grupo de asesinos sobrenaturales."
31223,Rayas de carreras (2005),Niños | Comedia,"Una cebra abandonada crece creyendo que es un caballo de carreras, y, con la ayuda de sus amigos de corral y una adolescente, se propone lograr su sueño de carreras con pura sangre."
31225,Entrenador Carter (2005),Drama,La controversia rodea al entrenador de baloncesto de la escuela secundaria Ken Carter después de que realice su equipo completo por romper su contrato académico con él.
31260,Ciudad de los Boys (1938),Drama,"Cuando un acusador de fila de la muerte le dice que no habría dirigido una vida de crimen, si solo hubiera tenido un amigo como un niño, el padre Edward Flanagan decide comenzar un hogar para los niños pequeños."
31297,Deggers de oro de 1935 (1935),Comedia | musical,"Las travesuras románticas abundan entre los invitados en un hotel de lujo, incluyendo un director de escenario, un millonario excéntrico y la hija de un respaldo financiero."
31309,Rocco y sus hermanos (Rocco E I Suoi Fratelli) (1960),Crimen | drama,"Habiendo sido recientemente desarraigado a Milán, Rocco y sus cuatro hermanos, cada uno buscan una nueva forma en la vida cuando una prostituta entre Rocco y su hermano Simone."
31364,Memorias de asesinato (Salinui Chueok) (2003),Crimen | drama | misterio | thriller,"En una pequeña provincia coreana en 1986, dos detectives luchan con el caso de múltiples mujeres jóvenes que se encuentran violadas y asesinadas por un culpable desconocido."
31367,"CHASE, EL (1994)",Acción | Aventura | Comedia | Crimen | Romance | Thriller,El convicto escapado de Jack Hammond lleva a un rehén de mujer y se apaga por la frontera mexicana con la policía caliente en su cola.
31410,"Downfall (Untergang, Der) (2004)",Drama | guerra,"TRAUDL JUNGE, EL SECRETARIO FINAL DE ADOLF HITLER, le dice a los últimos días del dictador nazi en su bunker de Berlín al final de la Segunda Guerra Mundial."
31420,Asalto en el precinto 13 (2005),Acción | Delito | Drama | Thriller,"Un sargento de la policía debe unirse a los policías y a los prisioneros para protegerse a sí mismos en la víspera de Año Nuevo, al igual que el policía corrupto rodea la estación con la intención de matar a todos para mantener su engaño en las filas."
31422,¿Ya llegamos? (2005),Niños | Comedia,"Para impresionar a un divorcio de Foxy, el hombre de las señoras Nick ofrece a llevar a sus hijos en un viaje por carretera extendido, inconsciente de la tortura en la que está."
31424,Solo en la oscuridad (2005),Acción | horror | ciencia ficción | thriller,Un detective de los paranormales no libera eventos misteriosos con resultados mortales.
31427,Ocultar y buscar (2005),Horror | Misterio | Thriller,"Cuando un viudo trata de juntar su vida a la estela del suicidio de su esposa, su hija encuentra consuelo, al principio, en su amigo imaginario."
31431,Boogeyman (2005),Drama | Horror | Misterio | Thriller,Un joven trata de lidiar con el terror de la infancia que nunca ha dejado de inquietarse.
31433,"Fecha de la boda, el (2005)",Comedia | romance,"La ansiedad de una sola niña hace que Kat Ellis contrate a una escolta masculina para posar como su novio en la boda de su hermana. Su plan, un intento de duplicar a su ex noviciérico, quien la arrojó un par de años antes, demuestra ser su deshacimiento."
31435,Rory O'Shea estuvo aquí (Dentro de bailar) (2004),Drama,"Cuando la Rory cinética se muda a su habitación en el hogar residencial de Carrigmore para discapacitados, su efecto en el hogar es inmediato. La mayoría dice que es su amistad con Michael, un joven con parálisis cerebral y un discurso casi ininteligible. De alguna manera, Rory entiende a Michael, y lo alienta a experimentar la vida fuera de los confines del hogar."
31437,Nadie sabe (Dare Mo Shiranai) (2004),Drama,"En un pequeño apartamento de Tokio, Akira, de doce años, debe cuidar a sus hermanos menores después de que su madre los deje y no muestra signos de regreso."
31445,Empleado del mes (2004),Comedia | drama,"Simplemente no es el día de David. Primero se despidió en el banco, luego su prometida se rompe y lo tira de la casa. El banco se roba y se disparó. Los giros siguen."
31522,"Matrimonio de María Braun, el (Ehe der Maria Braun, Die) (1979)",Drama,"Maria se casa con Hermann Braun en los últimos días de la Segunda Guerra Mundial, solo para que él desapareciera en la guerra. Solo, María pone a usar su belleza y ambición para encontrar prosperidad durante el ""milagro económico"" de Alemania de la década de 1950."
31545,"Trou, le (agujero, el) (reloj nocturno, el) (1960)",Crimen | Película-Noir,"En la prisión, cuatro reclusos de larga sentencia planeando un elaborado escape para inducir con cautela a un nuevo recluso a unirse a su plan que conduce a desconfianza e incertidumbre."
31553,Double Dragon (1994),Acción | aventura | ciencia ficción,"Dos hermanos tienen la mitad de un poderoso talismán chino y poderoso. Un líder de pandillas malvado tiene la otra mitad, y determina que la mitad de los hermanos y tenga un medallón completo para poder obtener un poder absoluto."
31590,Manos fuera del botín (Touchez Pas Au Grisbi) (1954),Crimen drama suspenso,"Un gángster envejecido, cansado mundial es doble cruzar y forzado a salir de la jubilación cuando su mejor amigo es secuestrado y su alijo de ocho bares de oro robados exigieron como rescate."
31610,Mariposa púrpura (Zi Hudie) (2003),Drama,"Cynthia es una joven china enamorada de Itami, un hombre japonés a punto de ser enviado a casa para el servicio militar."
31617,El CID (1961),Acción | aventura | drama | romance | guerra,El legendario héroe español Rodrigo Díaz de Vivar (a.k.A. El CID) supera a una vendetta familiar y una intriga de la corte para defender a Christian España contra los moros.
31658,Castillo en movimiento de Howl (Hauru No Ugoku Shiro) (2004),Aventura | Animación | Fantasía | Romance,"Cuando una joven inconfiada está maldita con un cuerpo viejo por una bruja rencorosa, su única posibilidad de romper el hechizo se encuentra con un mago auto indulgente pero inseguro y sus compañeros en su patio, caminar el castillo."
31660,Steamboy (Suche®mubã'i) (2004),Acción | animación | drama | ciencia ficción,"En 1860, Gran Bretaña, un niño inventor se encuentra atrapado en medio de un conflicto mortal por un avance revolucionario en el poder de vapor."
31664,Gorgeous (Boh Lee Chun) (1999),Acción | Comedia | Romance,"Una niña romántica viaja a Hong Kong en busca de cierto amor, pero con satisfacción a un luchador profesional de buen corazón para quien comienza a caer en su lugar."
31685,Hitch (2005),Comedia | romance,"Un hombre que habla suave cae para un columnista endurecido al tiempo que ayuda a un contador tímido, metea una hermosa heredera."
31692,Tío nino (2003),Comedia,Una familia distante y ligeramente disfuncional se acerca a unirse cuando el tío Niño de larga duración del padre proviene de Italia a Chicago para una visita sorpresa.
31694,Novia y prejuicio (2004),Comedia | musical | romance,"Una moderna adaptación de la clásica novela, orgullo y prejuicio de Jane Austen, que presenta la vida de cuatro hijas solteras en una familia india."
31696,Constantino (2005),Acción | Fantasía | Terror | Thriller,"Exorcista y demonólogo sobrenatural John Constantine ayuda a una mujer de la policía a probar la muerte de su hermana no fue un suicidio, sino algo más."
31698,Hijo de la máscara (2005),Aventura | Niños | Comedia | Fantasía,"Tim Avery, un aspirante a dibujante, se encuentra en una situación de predicencia cuando su perro se tropieza con la máscara de Loki. Luego, después de concebir a un hijo infantil ""Nacido de la máscara"", descubre cómo se puede obtener la crianza de los niños de LOONY."
31700,Debido a Winn-Dixie (2005),Niños | Comedia | Drama,Un perro malicioso se hace amigo de una joven solitaria en una ciudad nueva y la ayuda a hacer nuevos amigos.
31702,Las tortugas pueden volar (Lakposhtha HÃ ¢ M Parvaz Mikonand) (2004),Drama | guerra,"Cerca de la frontera iraquí-turca en la víspera de una invasión estadounidense, los niños refugiados como KAK (Ebrahim), de 13 años, calibre y esperan su destino."
31737,Falta el lago de Bunny (1965),Misterio | Suspenso,"Una mujer informa que falta su joven hija, pero parece que no hay evidencia de que ella haya existido."
31804,Reloj Nocturno (Nochno Dozor) (2004),Acción | Fantasía | Horror | Misterio | Ciencia ficción | Thriller,Un thriller de fantasía establecido en Moscú actual donde las respectivas fuerzas que controlan el día y la noche luchan.
31851,Hijos del desierto (1933),Comedia,"Cuando Stan y Ollie engañan a sus esposas para pensar que están tomando un crucero medicinal mientras realmente van a una convención, las esposas descubren la verdad de la manera difícil."
31867,Hombre de la casa (2005),Acción | comedia,Un Ranger de Texas debe proteger a un grupo de animadoras que han sido testigos de un asesinato.
31878,Kung Fu Hustle (Gong FU) (2004),Acción | comedia,"En Shanghai, China en la década de 1940, un gángster de Wannabe aspira a unirse a la notoria ""Hacha Gang"", mientras que los residentes de un complejo de viviendas exhiben poderes extraordinarios en la defensa de su césped."
31903,Zelary (2003),Drama | Romance,"Una enfermera forma parte de la resistencia en la década de 1940 checoslovaquia. Ella es descubierta y debe encontrar un lugar para esconderse. Un paciente cuya vida ahorró, desde un pueblo de montaña remoto donde el tiempo se detuvo hace 150 años, se compromete a ocultarla como su esposa."
